,prompt,prompt_len,target
0,"Marine Le Pen, French Presidential Candidate, Is Accused of Plagiarism.",16,0
1,"Warren and Sanders, and Their Messages of Change, Dominate the Money Race.",17,0
2,Mnuchin Defends Plan to Lift Sanctions on Russian Oligarch’s Companies.,17,0
3,Sri Lanka Destroys Illegal Elephant Tusks.,11,0
4,Afghan Troops Rush to Kunduz Amid Taliban Assault.,11,0
5,"Karen Blumenthal, 61, Dies; Journalist Turned Young-Adult Author.",18,0
6,Trump Says U.S. Shot Down Iranian Drone as Both Nations Dig In.,17,0
7,Soldier Becomes Unlikely Face of Ethiopian-Israeli Discontent.,13,0
8,Texas Muslims Voice Concerns After Inflammatory Survey and Forum.,11,0
9,Pro-Russian Rebels in Ukraine Match Government Cease-Fire.,14,0
10,China to Prosecute Pu Zhiqiang for Activism.,12,0
11,"Gunman in Dayton Had History of Threatening Women, Former Friends Say.",16,0
12,Brunei Says It Won’t Execute Gays After Protests of Stoning Law.,19,0
13,"As New Rules Take Effect, Voters Report Problems in Some States.",14,0
14,"Suicide Bomber Kills Up to 8 in Xinjiang, Radio Free Asia Reports.",16,0
15,"Moscow Crushes an Uprising, This Time an Artistic One.",14,0
16,A Run on Bug Spray Amid Fears of West Nile Virus.,13,0
17,China’s Censors Denounced in Online Attack.,12,0
18,Refugees Are Pushed to Exits in Pakistan.,12,0
19,Resisting by Raising a Glass.,8,0
20,Italy Loosens Vaccine Law Just as Children Return to School.,13,0
21,Souring World Views of Trump Open Doors for China and Russia.,14,0
22,Indians Rush Frantically to Launder Their ‘Black Money’.,13,0
23,A Roman Sarcophagus Is Rescued from Humble Duty as a Flower Pot.,19,0
24,University of Texas Students Find the Absurd in a New Gun Law.,15,0
25,France’s Role in Three Conflicts Displays a More Muscular Policy.,14,0
26,Greece Tries to House Migrants as Other Gates Close.,12,0
27,Charity Says Threats Foil Medical Aid in Myanmar.,10,0
28,Some Bright Green Lawns in California Require No Water.,12,0
29,"Austria Seeks to Seize, and Possibly Tear Down, Hitler’s House.",18,0
30,"Romanian Prime Minister, Accused of Graft, Is Indicted.",16,0
31,Death Toll in Russia Apartment Blast Rises to 38.,13,0
32,Envoys Visit a Top Islamist Inside a Jail Near Cairo.,14,0
33,New Faces and a Contentious Revival.,9,0
34,U.S. Sees a Terror Threat; Pakistanis See a Heroine.,17,0
35,The Persian Rug May Not Be Long for This World.,12,0
36,United Nations Chief Exposes Limits to His Authority by Citing Saudi Threat.,16,0
37,Reconsidering Melbourne’s Public Housing Lockdown.,12,0
38,"In Pursuit of Peace, Trump Generates Rare Friction With Netanyahu.",13,0
39,U.S. Imposes Sanctions on Iraqi Militia Leaders and Ex-Governors.,18,0
40,Trump Visa Rules Seen as Way to Pressure Colleges on Reopening.,14,0
41,White House Considering Indra Nooyi to Head World Bank.,12,0
42,Shinzo Abe Echoes Japan’s Past World War II Apologies but Adds None.,18,0
43,Mattis Vows U.S. Will Hold Khashoggi’s Killers Accountable.,20,0
44,Increased Activity at North Korean Nuclear Site Raises Suspicions.,13,0
45,Hawaii Braces for a Rare Encounter With a Hurricane.,12,0
46,Erosion of Argentine Peso Sends a Shudder Through Latin America.,13,0
47,U.S. Coronavirus Cases Surpass 9 Million With No End in Sight.,18,0
48,"Worried That Fasting Palestinian Prisoner Could Die, Israel Releases Him.",14,0
49,"After Trump Win, Parallel Path Is Seen for Marine Le Pen of France’s Far Right.",20,0
50,Taliban Move Brings Halt to Airstrikes in Pakistan.,13,0
51,Russia Denounces U.S. Sentencing of Arms Dealer.,14,0
52,U.S. Officials Return to Pursuit of 1985 Killer of American Agent.,20,0
53,"Trump’s Virginia Golf Outings Leave Paddlers High, Dry and Angry.",18,0
54,A New ‘Emperor’: Russia Girds for 16 More Years of Putin.,18,0
55,"With Ukrainian Troops Trapped, a Cease-Fire Grows More Fragile.",17,0
56,"Russia Blocks Several Activists From Olympics, Even as Spectators.",14,0
57,Fire Kills 38 at Seniors Home in China.,12,0
58,"Trump Crows as a Steel Plant Fires Up, but Tariffs Singe Soybean Farmers.",18,0
59,A Leading Chinese Human Rights Advocate Is Detained in Beijing.,13,0
60,Boxer-Turned-Politician Shakes Up Ukrainian Elections.,13,0
61,Meeting Fails to Bridge Opposition and Kremlin.,9,0
62,Northern Ireland Faces Crisis as Unionist First Minister Resigns.,13,0
63,Murder Arrests in Mexico Met With Skepticism.,12,0
64,Cartoonist in Denmark Calls Attack ‘Really Close’.,11,0
65,Egyptian Presidential Candidate Carries Banner of the Old Order.,12,0
66,"As Riots Boil Over, These Guards Don’t Budge.",15,0
67,"Kurds Close to Control of Northeast Syria Province, Portending a Shift in the War.",19,0
68,"In English Lake District, Tradition and Conservation Clash.",11,0
69,Anger Grows in Taiwan Against Deal With China.,10,0
70,"Thai Aristocrat Joins Political Fray, Backing Elections.",11,0
71,Russian Oligarch Sues the U.S. Over Sanctions.,14,0
72,"Reginald Foster, Vatican Latinist Who Tweeted in the Language, Dies at 81.",21,0
73,"Abbey Simon, Masterly Pianist, Dies at 99.",15,0
74,"Vintage Plane Crashes in Switzerland, Killing All 20 on Board.",16,0
75,"20 Years After Rabin, Israeli Politics Have Shifted.",13,0
76,Navy Deploying Laser Weapon Prototype Near Iran.,10,0
77,"James D. Wolfensohn, Who Led the World Bank for 10 Years, Dies at 86.",25,0
78,"Decision Looms for Laos Dam, but Impact Is Unclear.",14,0
79,"Baltimore Case Is Full of Conflicts, Lawyers for Officers Contend.",14,0
80,"For Brazilian Official and Family, Controversy Over a Trip.",12,0
81,Ireland Bars American Pastor Accused of Hate Speech.,11,0
82,"For Gadget Geek in the Oval Office, High Tech Has Its Limits.",15,0
83,Hiding Christians in the Basement: Fear and Heroism in a Philippine War Zone.,17,0
84,Chinese Province Is Hit by a Series of Earthquakes.,11,0
85,U.S. Withdraws From Project With Russia on Civil Society.,15,0
86,"Trump Bets Business Will Answer Call to Fight Virus, but Strategy Bewilders Firms.",18,0
87,Britain to Impose Quarantine on Air Travelers to Fight Coronavirus.,13,0
88,Yazidi Girls Seized by ISIS Speak Out After Escape.,13,0
89,"Clubbers Lament Demise of Fabric, a ‘Totem’ of London’s Dance Scene.",21,0
90,A Day of Bloodshed in Kabul: Attacks at Defense Ministry and Aid Compound.,17,0
91,"Jon Cavaiani, Medal of Honor Recipient in 1974, Dies at 70.",22,0
92,32 People Convicted for Roles in Gujarat Riots.,14,0
93,India Adopts the Tactic of Authoritarians: Shutting Down the Internet.,18,0
94,"Lem Johns, Who Guarded Johnson in Dallas, Dies at 88.",17,0
95,Olympics Security Worries U.S. Officials.,12,0
96,One Bride for 2 Brothers: A Custom Fades in India.,15,0
97,Diplomatic Moves Increase Pressure on Assad.,9,0
98,American Envoy to Syria Steps Down.,8,0
99,"Migrant Caravan Arrives at U.S. Border, but Long Road Awaits.",19,0
100,Toronto Mayor Called to Testify in Canada.,10,0
101,Disgraced Musician Faces an Angry Japan.,10,0
102,"A Dance for Tibetan New Year, Then 17 Hours in Custody.",16,0
103,"White House Has Given No Orders to Counter Russian Meddling, N.S.A. Chief Says.",22,0
104,Putin Doesn’t Rule Out Asylum in Moscow for Syria’s Assad.,16,0
