Sample_Index,Feature_Type,Scaling_Factor,Baseline_LogProb_Token1,Baseline_LogProb_Token2,Baseline_Logit_Diff,Steered_LogProb_Token1,Steered_LogProb_Token2,Steered_Logit_Diff,Delta_LogProb_Token1,Delta_LogProb_Token2,Delta_Logit_Diff
0,sae_input,-20.0,-0.82441187,-0.61541605,-0.20899582,-0.99283534,-0.49869663,-0.49413872,-0.16842347,0.116719425,-0.2851429
1,sae_input,-20.0,-0.84565115,-0.6035266,-0.24212456,-1.0073919,-0.49404436,-0.5133476,-0.16174078,0.10948223,-0.27122307
2,sae_input,-20.0,-2.6148925,-0.10505067,-2.509842,-3.0124247,-0.078577265,-2.9338474,-0.39753222,0.026473403,-0.4240055
3,sae_input,-20.0,-0.8431248,-0.60468715,-0.23843765,-1.0106078,-0.4915763,-0.5190315,-0.16748303,0.11311084,-0.28059387
4,sae_input,-20.0,-2.8696916,-0.0876805,-2.782011,-3.274826,-0.06705668,-3.2077694,-0.40513444,0.020623818,-0.42575836
5,sae_input,-20.0,-0.6490243,-0.7786992,0.12967491,-0.77008855,-0.6571468,-0.11294174,-0.121064246,0.12155241,-0.24261665
6,sae_input,-20.0,-0.8042305,-0.63737375,-0.16685677,-0.94274986,-0.53506935,-0.4076805,-0.13851935,0.1023044,-0.24082375
7,sae_input,-20.0,-1.5920544,-0.2584266,-1.3336277,-1.8641464,-0.19828908,-1.6658573,-0.27209198,0.060137525,-0.3322296
8,sae_input,-20.0,-0.7640884,-0.668082,-0.09600639,-0.9176416,-0.54759306,-0.37004852,-0.15355319,0.12048894,-0.27404213
9,sae_input,-20.0,-0.6420648,-0.79162955,0.14956474,-0.7951388,-0.63992447,-0.15521431,-0.15307397,0.15170509,-0.30477905
10,sae_input,-20.0,-1.7145826,-0.23041742,-1.4841652,-1.9953829,-0.17723903,-1.8181438,-0.28080034,0.053178385,-0.33397865
11,sae_input,-20.0,-0.73096645,-0.6969012,-0.034065247,-0.8885782,-0.5663488,-0.3222294,-0.15761173,0.13055241,-0.28816414
12,sae_input,-20.0,-0.79128474,-0.64004344,-0.1512413,-0.93680453,-0.53095317,-0.40585136,-0.1455198,0.10909027,-0.25461006
13,sae_input,-20.0,-0.82048285,-0.6225897,-0.19789314,-0.9799387,-0.50980777,-0.47013092,-0.15945584,0.11278194,-0.27223778
14,sae_input,-20.0,-2.6451526,-0.10341794,-2.5417347,-3.0528836,-0.07712034,-2.9757633,-0.40773106,0.0262976,-0.43402863
15,sae_input,-20.0,-0.7567276,-0.6726116,-0.08411598,-0.9096336,-0.5512008,-0.35843277,-0.152906,0.12141079,-0.2743168
0,sae_input,-10.0,-0.82441187,-0.61541605,-0.20899582,-0.9047846,-0.5554499,-0.34933472,-0.08037275,0.059966147,-0.1403389
1,sae_input,-10.0,-0.84565115,-0.6035266,-0.24212456,-0.92292976,-0.5473957,-0.37553406,-0.077278614,0.056130886,-0.1334095
2,sae_input,-10.0,-2.6148925,-0.10505067,-2.509842,-2.8103564,-0.09064127,-2.719715,-0.1954639,0.0144094005,-0.2098732
3,sae_input,-10.0,-0.8431248,-0.60468715,-0.23843765,-0.9230697,-0.5466182,-0.3764515,-0.07994491,0.05806893,-0.13801384
4,sae_input,-10.0,-2.8696916,-0.0876805,-2.782011,-3.0695913,-0.07641378,-2.9931774,-0.19989967,0.011266716,-0.21116638
5,sae_input,-10.0,-0.6490243,-0.7786992,0.12967491,-0.70666033,-0.7170134,0.010353088,-0.057636023,0.0616858,-0.11932182
6,sae_input,-10.0,-0.8042305,-0.63737375,-0.16685677,-0.8705963,-0.58515775,-0.28543854,-0.06636578,0.052215993,-0.11858177
7,sae_input,-10.0,-1.5920544,-0.2584266,-1.3336277,-1.724026,-0.22674586,-1.4972801,-0.1319716,0.031680748,-0.16365242
8,sae_input,-10.0,-0.7640884,-0.668082,-0.09600639,-0.83722436,-0.6064447,-0.23077965,-0.07313597,0.061637282,-0.13477325
9,sae_input,-10.0,-0.6420648,-0.79162955,0.14956474,-0.7143733,-0.71405476,-0.00031852722,-0.07230848,0.07757479,-0.14988327
10,sae_input,-10.0,-1.7145826,-0.23041742,-1.4841652,-1.8510736,-0.20233285,-1.6487408,-0.13649106,0.028084561,-0.16457558
11,sae_input,-10.0,-0.73096645,-0.6969012,-0.034065247,-0.8058727,-0.6300361,-0.17583656,-0.07490623,0.06686509,-0.14177132
12,sae_input,-10.0,-0.79128474,-0.64004344,-0.1512413,-0.86079717,-0.58436704,-0.27643013,-0.06951243,0.0556764,-0.12518883
13,sae_input,-10.0,-0.82048285,-0.6225897,-0.19789314,-0.8965294,-0.56484336,-0.33168602,-0.07604653,0.05774635,-0.13379288
14,sae_input,-10.0,-2.6451526,-0.10341794,-2.5417347,-2.8457162,-0.089065306,-2.756651,-0.20056367,0.014352635,-0.21491623
15,sae_input,-10.0,-0.7567276,-0.6726116,-0.08411598,-0.8295206,-0.6105436,-0.21897697,-0.07279301,0.062067986,-0.13486099
0,sae_input,-8.0,-0.82441187,-0.61541605,-0.20899582,-0.8881027,-0.56719893,-0.32090378,-0.06369084,0.048217118,-0.11190796
1,sae_input,-8.0,-0.84565115,-0.6035266,-0.24212456,-0.90690994,-0.55840874,-0.3485012,-0.061258793,0.045117855,-0.10637665
2,sae_input,-8.0,-2.6148925,-0.10505067,-2.509842,-2.770731,-0.09332459,-2.6774063,-0.15583849,0.011726081,-0.16756439
3,sae_input,-8.0,-0.8431248,-0.60468715,-0.23843765,-0.90648884,-0.55799717,-0.34849167,-0.06336403,0.046689987,-0.110054016
4,sae_input,-8.0,-2.8696916,-0.0876805,-2.782011,-3.0291479,-0.0785063,-2.9506416,-0.15945625,0.009174198,-0.1686306
5,sae_input,-8.0,-0.6490243,-0.7786992,0.12967491,-0.6946863,-0.7292112,0.034524918,-0.045661986,0.049488008,-0.095149994
6,sae_input,-8.0,-0.8042305,-0.63737375,-0.16685677,-0.85686487,-0.59544176,-0.2614231,-0.05263436,0.041931987,-0.094566345
7,sae_input,-8.0,-1.5920544,-0.2584266,-1.3336277,-1.6969646,-0.23282468,-1.4641399,-0.104910254,0.025601923,-0.13051224
8,sae_input,-8.0,-0.7640884,-0.668082,-0.09600639,-0.82204294,-0.6185479,-0.20349503,-0.05795455,0.049534082,-0.10748863
9,sae_input,-8.0,-0.6420648,-0.79162955,0.14956474,-0.69924814,-0.7293175,0.030069351,-0.057183325,0.062312067,-0.11949539
10,sae_input,-8.0,-1.7145826,-0.23041742,-1.4841652,-1.8231287,-0.20771126,-1.6154175,-0.10854614,0.022706151,-0.13125229
11,sae_input,-8.0,-0.73096645,-0.6969012,-0.034065247,-0.79027367,-0.6431751,-0.14709854,-0.059307218,0.053726077,-0.113033295
12,sae_input,-8.0,-0.79128474,-0.64004344,-0.1512413,-0.8463801,-0.5953349,-0.25104523,-0.055095375,0.04470855,-0.099803925
13,sae_input,-8.0,-0.82048285,-0.6225897,-0.19789314,-0.88074493,-0.5761852,-0.3045597,-0.060262084,0.04640448,-0.106666565
14,sae_input,-8.0,-2.6451526,-0.10341794,-2.5417347,-2.8050835,-0.09173132,-2.7133522,-0.15993094,0.011686623,-0.17161751
15,sae_input,-8.0,-0.7567276,-0.6726116,-0.08411598,-0.8143873,-0.6227522,-0.19163513,-0.057659745,0.049859405,-0.10751915
0,sae_input,-5.0,-0.82441187,-0.61541605,-0.20899582,-0.8636599,-0.5850516,-0.27860832,-0.03924805,0.030364454,-0.0696125
1,sae_input,-5.0,-0.84565115,-0.6035266,-0.24212456,-0.8834233,-0.5751252,-0.3082981,-0.03777218,0.028401375,-0.06617355
2,sae_input,-5.0,-2.6148925,-0.10505067,-2.509842,-2.7117684,-0.09753337,-2.614235,-0.096875906,0.0075173005,-0.104393005
3,sae_input,-5.0,-0.8431248,-0.60468715,-0.23843765,-0.88218087,-0.57528657,-0.3068943,-0.039056063,0.029400587,-0.06845665
4,sae_input,-5.0,-2.8696916,-0.0876805,-2.782011,-2.968964,-0.08178952,-2.8871746,-0.09927249,0.005890973,-0.105163574
5,sae_input,-5.0,-0.6490243,-0.7786992,0.12967491,-0.67715627,-0.7476347,0.07047844,-0.028131962,0.03106451,-0.059196472
6,sae_input,-5.0,-0.8042305,-0.63737375,-0.16685677,-0.83671474,-0.61100864,-0.2257061,-0.032484233,0.026365101,-0.058849335
7,sae_input,-5.0,-1.5920544,-0.2584266,-1.3336277,-1.6570208,-0.24217816,-1.4148426,-0.06496644,0.01624845,-0.081214905
8,sae_input,-5.0,-0.7640884,-0.668082,-0.09600639,-0.7997912,-0.6369208,-0.1628704,-0.035702825,0.03116119,-0.06686401
9,sae_input,-5.0,-0.6420648,-0.79162955,0.14956474,-0.67719376,-0.752452,0.075258255,-0.03512895,0.039177537,-0.07430649
10,sae_input,-5.0,-1.7145826,-0.23041742,-1.4841652,-1.7818227,-0.21600007,-1.5658226,-0.06724012,0.01441735,-0.08165741
11,sae_input,-5.0,-0.73096645,-0.6969012,-0.034065247,-0.7674679,-0.6631016,-0.1043663,-0.036501467,0.03379959,-0.070301056
12,sae_input,-5.0,-0.79128474,-0.64004344,-0.1512413,-0.8252523,-0.61194015,-0.21331215,-0.033967555,0.028103292,-0.062070847
13,sae_input,-5.0,-0.82048285,-0.6225897,-0.19789314,-0.85761,-0.59339833,-0.26421165,-0.037127137,0.029191375,-0.06631851
14,sae_input,-5.0,-2.6451526,-0.10341794,-2.5417347,-2.7445824,-0.095919825,-2.6486626,-0.099429846,0.0074981153,-0.10692787
15,sae_input,-5.0,-0.7567276,-0.6726116,-0.08411598,-0.79224575,-0.6412505,-0.15099525,-0.03551817,0.031361103,-0.06687927
0,sae_input,5.0,-0.82441187,-0.61541605,-0.20899582,-0.78694886,-0.64653367,-0.14041519,0.03746301,-0.031117618,0.06858063
1,sae_input,5.0,-0.84565115,-0.6035266,-0.24212456,-0.8095775,-0.6325546,-0.17702293,0.036073625,-0.029027998,0.06510162
2,sae_input,5.0,-2.6148925,-0.10505067,-2.509842,-2.5198066,-0.11323055,-2.4065762,0.09508586,-0.008179881,0.10326576
3,sae_input,5.0,-0.8431248,-0.60468715,-0.23843765,-0.8058656,-0.6347688,-0.1710968,0.03725922,-0.03008163,0.06734085
4,sae_input,5.0,-2.8696916,-0.0876805,-2.782011,-2.7718625,-0.09412239,-2.67774,0.0978291,-0.006441891,0.104270935
5,sae_input,5.0,-0.6490243,-0.7786992,0.12967491,-0.62222826,-0.8101536,0.18792534,0.026796043,-0.031454384,0.058250427
6,sae_input,5.0,-0.8042305,-0.63737375,-0.16685677,-0.77311856,-0.66421086,-0.1089077,0.031111956,-0.02683711,0.057949066
7,sae_input,5.0,-1.5920544,-0.2584266,-1.3336277,-1.5291579,-0.27548814,-1.2536697,0.06289649,-0.017061532,0.07995796
8,sae_input,5.0,-0.7640884,-0.668082,-0.09600639,-0.7300991,-0.69985235,-0.030246735,0.03398931,-0.03177035,0.06575966
9,sae_input,5.0,-0.6420648,-0.79162955,0.14956474,-0.6088549,-0.8315817,0.22272682,0.03320992,-0.03995216,0.07316208
10,sae_input,5.0,-1.7145826,-0.23041742,-1.4841652,-1.6493455,-0.245596,-1.4037495,0.065237045,-0.015178591,0.080415726
11,sae_input,5.0,-0.73096645,-0.6969012,-0.034065247,-0.6962669,-0.73142123,0.035154343,0.03469956,-0.03452003,0.06921959
12,sae_input,5.0,-0.79128474,-0.64004344,-0.1512413,-0.7588259,-0.6686598,-0.09016609,0.03245884,-0.028616369,0.06107521
13,sae_input,5.0,-0.82048285,-0.6225897,-0.19789314,-0.78508717,-0.6523796,-0.1327076,0.03539568,-0.029789865,0.06518555
14,sae_input,5.0,-2.6451526,-0.10341794,-2.5417347,-2.5474849,-0.111604206,-2.4358807,0.097667694,-0.008186266,0.105854034
15,sae_input,5.0,-0.7567276,-0.6726116,-0.08411598,-0.7229184,-0.7045754,-0.018342972,0.033809185,-0.031963825,0.06577301
0,sae_input,8.0,-0.82441187,-0.61541605,-0.20899582,-0.7653066,-0.66555035,-0.09975624,0.059105277,-0.0501343,0.10923958
1,sae_input,8.0,-0.84565115,-0.6035266,-0.24212456,-0.7887411,-0.6502447,-0.1384964,0.056910038,-0.04671812,0.10362816
2,sae_input,8.0,-2.6148925,-0.10505067,-2.509842,-2.4635746,-0.11847993,-2.3450947,0.15131783,-0.013429262,0.16474724
3,sae_input,8.0,-0.8431248,-0.60468715,-0.23843765,-0.78432906,-0.65314543,-0.13118362,0.05879575,-0.04845828,0.10725403
4,sae_input,8.0,-2.8696916,-0.0876805,-2.782011,-2.7138846,-0.09826688,-2.6156178,0.15580702,-0.010586381,0.16639328
5,sae_input,8.0,-0.6490243,-0.7786992,0.12967491,-0.6067622,-0.8292086,0.22244644,0.042262137,-0.050509393,0.09277153
6,sae_input,8.0,-0.8042305,-0.63737375,-0.16685677,-0.7550809,-0.6805398,-0.07454109,0.049149632,-0.04316604,0.092315674
7,sae_input,8.0,-1.5920544,-0.2584266,-1.3336277,-1.4924034,-0.28611794,-1.2062855,0.09965098,-0.027691334,0.12734222
8,sae_input,8.0,-0.7640884,-0.668082,-0.09600639,-0.71049166,-0.7192006,0.008708954,0.053596735,-0.051118612,0.10471535
9,sae_input,8.0,-0.6420648,-0.79162955,0.14956474,-0.5898243,-0.8558899,0.2660656,0.05224049,-0.06426036,0.116500854
10,sae_input,8.0,-1.7145826,-0.23041742,-1.4841652,-1.6111555,-0.25507253,-1.3560829,0.10342705,-0.024655119,0.12808228
11,sae_input,8.0,-0.73096645,-0.6969012,-0.034065247,-0.6763019,-0.75244325,0.07614136,0.054664552,-0.05554205,0.110206604
12,sae_input,8.0,-0.79128474,-0.64004344,-0.1512413,-0.7400447,-0.68607056,-0.05397415,0.051240027,-0.046027124,0.09726715
13,sae_input,8.0,-0.82048285,-0.6225897,-0.19789314,-0.7646366,-0.67054325,-0.09409332,0.055846274,-0.047953546,0.10379982
14,sae_input,8.0,-2.6451526,-0.10341794,-2.5417347,-2.4897542,-0.1168638,-2.3728905,0.15539837,-0.013445862,0.16884422
15,sae_input,8.0,-0.7567276,-0.6726116,-0.08411598,-0.7034232,-0.7240283,0.020605087,0.053304374,-0.051416695,0.10472107
0,sae_input,10.0,-0.82441187,-0.61541605,-0.20899582,-0.7512374,-0.67835,-0.07288742,0.07317448,-0.06293392,0.1361084
1,sae_input,10.0,-0.84565115,-0.6035266,-0.24212456,-0.7751515,-0.6621716,-0.11297989,0.07049966,-0.05864501,0.12914467
2,sae_input,10.0,-2.6148925,-0.10505067,-2.509842,-2.4265041,-0.12211983,-2.3043842,0.18838835,-0.017069161,0.20545769
3,sae_input,10.0,-0.8431248,-0.60468715,-0.23843765,-0.7703225,-0.6655137,-0.10480881,0.072802305,-0.06082654,0.13362885
4,sae_input,10.0,-2.8696916,-0.0876805,-2.782011,-2.6755319,-0.10115289,-2.574379,0.19415975,-0.013472393,0.20763206
5,sae_input,10.0,-0.6490243,-0.7786992,0.12967491,-0.5966958,-0.84198844,0.24529266,0.052328527,-0.063289225,0.11561775
6,sae_input,10.0,-0.8042305,-0.63737375,-0.16685677,-0.7433054,-0.6915228,-0.051782608,0.060925126,-0.05414903,0.11507416
7,sae_input,10.0,-1.5920544,-0.2584266,-1.3336277,-1.4682913,-0.29337406,-1.1749172,0.123763084,-0.034947455,0.15871048
8,sae_input,10.0,-0.7640884,-0.668082,-0.09600639,-0.69772685,-0.73222697,0.034500122,0.06636155,-0.06414497,0.13050652
9,sae_input,10.0,-0.6420648,-0.79162955,0.14956474,-0.57750314,-0.87222284,0.2947197,0.064561665,-0.08059329,0.14515495
10,sae_input,10.0,-1.7145826,-0.23041742,-1.4841652,-1.5860789,-0.26154923,-1.3245296,0.12850368,-0.031131819,0.15963554
11,sae_input,10.0,-0.73096645,-0.6969012,-0.034065247,-0.66331905,-0.766602,0.10328293,0.0676474,-0.06970078,0.13734818
12,sae_input,10.0,-0.79128474,-0.64004344,-0.1512413,-0.727815,-0.6977666,-0.03004837,0.06346977,-0.057723165,0.12119293
13,sae_input,10.0,-0.82048285,-0.6225897,-0.19789314,-0.7513256,-0.68276596,-0.06855965,0.06915724,-0.060176253,0.1293335
14,sae_input,10.0,-2.6451526,-0.10341794,-2.5417347,-2.4516065,-0.12052501,-2.3310814,0.19354606,-0.01710707,0.2106533
15,sae_input,10.0,-0.7567276,-0.6726116,-0.08411598,-0.6907334,-0.737122,0.046388626,0.0659942,-0.064510405,0.13050461
0,sae_input,20.0,-0.82441187,-0.61541605,-0.20899582,-0.6847854,-0.7439762,0.05919075,0.13962644,-0.12856013,0.26818657
1,sae_input,20.0,-0.84565115,-0.6035266,-0.24212456,-0.7109776,-0.7230721,0.012094498,0.13467354,-0.11954552,0.25421906
2,sae_input,20.0,-2.6148925,-0.10505067,-2.509842,-2.2456026,-0.1421746,-2.103428,0.36928988,-0.037123933,0.40641403
