Sample_Index,Feature_Type,Scaling_Factor,Baseline_LogProb_Token1,Baseline_LogProb_Token2,Baseline_Logit_Diff,Steered_LogProb_Token1,Steered_LogProb_Token2,Steered_Logit_Diff,Delta_LogProb_Token1,Delta_LogProb_Token2,Delta_Logit_Diff
0,sae_input,-30.0,-1.5672863,-0.27245402,-1.2948322,-1.5363927,-0.28226143,-1.2541313,0.030893564,-0.009807408,0.040700912
1,sae_input,-30.0,-0.8046344,-0.6347926,-0.16984177,-0.7960139,-0.64315706,-0.15285683,0.008620501,-0.008364439,0.01698494
2,sae_input,-30.0,-0.6301875,-0.8032508,0.17306328,-0.6167675,-0.8203198,0.20355225,0.013419986,-0.017068982,0.030488968
3,sae_input,-30.0,-0.7002847,-0.72708297,0.026798248,-0.6886077,-0.74019194,0.051584244,0.011677027,-0.013108969,0.024785995
4,sae_input,-30.0,-0.7782896,-0.65340406,-0.12488556,-0.7628448,-0.6678474,-0.094997406,0.015444815,-0.014443338,0.029888153
5,sae_input,-30.0,-2.2947917,-0.13742965,-2.157362,-2.2537012,-0.14358227,-2.1101189,0.04109049,-0.006152615,0.04724312
6,sae_input,-30.0,-2.674511,-0.099594064,-2.5749168,-2.625874,-0.10474261,-2.5211315,0.048636913,-0.005148545,0.053785324
7,sae_input,-30.0,-0.88043433,-0.5750697,-0.3053646,-0.8757013,-0.5797914,-0.29590988,0.004733026,-0.004721701,0.009454727
8,sae_input,-30.0,-0.48760802,-0.99776846,0.51016045,-0.4767232,-1.0169911,0.54026794,0.010884821,-0.019222677,0.030107498
9,sae_input,-30.0,-0.82223046,-0.6200458,-0.20218468,-0.81030494,-0.6309436,-0.17936134,0.0119255185,-0.010897815,0.022823334
10,sae_input,-30.0,-0.76920485,-0.66309524,-0.10610962,-0.7564495,-0.6752232,-0.08122635,0.012755334,-0.012127936,0.02488327
11,sae_input,-30.0,-0.73705035,-0.6934293,-0.043621063,-0.722536,-0.70806116,-0.014474869,0.014514327,-0.014631867,0.029146194
12,sae_input,-30.0,-1.9355003,-0.18819721,-1.747303,-1.9013654,-0.19545567,-1.7059097,0.034134865,-0.00725846,0.04139328
13,sae_input,-30.0,-0.7711107,-0.6637785,-0.10733223,-0.7648836,-0.67034394,-0.09453964,0.0062271357,-0.0065654516,0.012792587
14,sae_input,-30.0,-0.73460865,-0.69889736,-0.03571129,-0.72423494,-0.70980203,-0.014432907,0.010373712,-0.01090467,0.021278381
15,sae_input,-30.0,-2.2698362,-0.14093187,-2.1289043,-2.220891,-0.14809693,-2.072794,0.04894519,-0.0071650594,0.056110382
0,sae_input,-20.0,-1.5672863,-0.27245402,-1.2948322,-1.5456619,-0.27924153,-1.2664204,0.021624327,-0.0067875087,0.028411865
1,sae_input,-20.0,-0.8046344,-0.6347926,-0.16984177,-0.7982367,-0.6409167,-0.15732002,0.0063976645,-0.006124079,0.012521744
2,sae_input,-20.0,-0.6301875,-0.8032508,0.17306328,-0.6210384,-0.81483835,0.19379997,0.009149134,-0.01158756,0.020736694
3,sae_input,-20.0,-0.7002847,-0.72708297,0.026798248,-0.6920756,-0.736225,0.0441494,0.008209109,-0.009142041,0.01735115
4,sae_input,-20.0,-0.7782896,-0.65340406,-0.12488556,-0.7673007,-0.663602,-0.10369873,0.010988891,-0.0101979375,0.021186829
5,sae_input,-20.0,-2.2947917,-0.13742965,-2.157362,-2.266045,-0.1416631,-2.124382,0.028746605,-0.0042334497,0.032979965
6,sae_input,-20.0,-2.674511,-0.099594064,-2.5749168,-2.64065,-0.10310002,-2.53755,0.03386092,-0.0035059527,0.037366867
7,sae_input,-20.0,-0.88043433,-0.5750697,-0.3053646,-0.87663066,-0.57871044,-0.29792023,0.0038036704,-0.0036407113,0.0074443817
8,sae_input,-20.0,-0.48760802,-0.99776846,0.51016045,-0.48013538,-1.0109029,0.53076744,0.0074726343,-0.01313442,0.020606995
9,sae_input,-20.0,-0.82223046,-0.6200458,-0.20218468,-0.8135991,-0.62784815,-0.18575096,0.008631349,-0.007802367,0.016433716
10,sae_input,-20.0,-0.76920485,-0.66309524,-0.10610962,-0.76005065,-0.67172897,-0.088321686,0.009154201,-0.008633733,0.017787933
11,sae_input,-20.0,-0.73705035,-0.6934293,-0.043621063,-0.72678214,-0.70371085,-0.023071289,0.010268211,-0.010281563,0.020549774
12,sae_input,-20.0,-1.9355003,-0.18819721,-1.747303,-1.9113995,-0.19325224,-1.7181473,0.02410078,-0.005055025,0.029155731
13,sae_input,-20.0,-0.7711107,-0.6637785,-0.10733223,-0.7663344,-0.6687144,-0.09762001,0.004776299,-0.0049359202,0.009712219
14,sae_input,-20.0,-0.73460865,-0.69889736,-0.03571129,-0.7270911,-0.7067282,-0.020362854,0.007517576,-0.007830858,0.015348434
15,sae_input,-20.0,-2.2698362,-0.14093187,-2.1289043,-2.2356715,-0.14585821,-2.0898132,0.034164667,-0.004926339,0.03909111
0,sae_input,-10.0,-1.5672863,-0.27245402,-1.2948322,-1.5559516,-0.27597186,-1.2799797,0.011334658,-0.0035178363,0.014852524
1,sae_input,-10.0,-0.8046344,-0.6347926,-0.16984177,-0.80112153,-0.6381176,-0.16300392,0.0035128593,-0.0033249855,0.006837845
2,sae_input,-10.0,-0.6301875,-0.8032508,0.17306328,-0.6255122,-0.8091479,0.18363571,0.0046753287,-0.0058971047,0.0105724335
3,sae_input,-10.0,-0.7002847,-0.72708297,0.026798248,-0.6959828,-0.73183906,0.035856247,0.0043019056,-0.004756093,0.009057999
4,sae_input,-10.0,-0.7782896,-0.65340406,-0.12488556,-0.77246606,-0.658769,-0.11369705,0.0058235526,-0.0053649545,0.011188507
5,sae_input,-10.0,-2.2947917,-0.13742965,-2.157362,-2.2797723,-0.13960694,-2.1401653,0.015019417,-0.0021772832,0.017196655
6,sae_input,-10.0,-2.674511,-0.099594064,-2.5749168,-2.656847,-0.101383105,-2.5554638,0.017663956,-0.0017890409,0.019453049
